"Experiment_ID","Timestamp","Sensor_ID","X_ft","Y_ft","Z_ft","Temperature_F","Relative_Humidity_pct","Dew_Point_F","Dew_Point_Depression_F","Bin_ID"
"Cooler_10",2026-05-21 19:00:00,"1C60",8,32,18,69.4,48.4,49.084637709796,20.315362290204,"B001"
"Cooler_10",2026-05-21 19:00:00,"1C94",8,32,6,75.5,44.9,52.6187710617627,22.8812289382373,"B002"
"Cooler_10",2026-05-21 19:00:00,"1CC4",24,32,20,49.7,76.8,42.716009674314,6.98399032568603,"B003"
"Cooler_10",2026-05-21 19:00:00,"1EB4",0,20,6,50.6,72.7,42.1582784172331,8.44172158276691,"B004"
"Cooler_10",2026-05-21 19:00:00,"1EC8",36,32,18,58.8,53.9,42.1423591652446,16.6576408347554,"B005"
"Cooler_10",2026-05-21 19:00:00,"1F0C",36,32,6,76,47.3,54.4967292928278,21.5032707071722,"B006"
"Cooler_10",2026-05-21 19:00:00,"1EFO",24,32,6,76.1,41.6,51.0898811750716,25.0101188249284,"B007"
"Cooler_10",2026-05-21 19:00:00,"1F20",0,20,18,51.6,72.8,43.1574407010666,8.44255929893344,"B008"
"Cooler_10",2026-05-22 07:00:00,"1C60",8,32,18,64.5,46.6,43.5994967824052,20.9005032175948,"B001"
"Cooler_10",2026-05-22 07:00:00,"1C94",8,32,6,72.4,41.4,47.6345289271199,24.7654710728801,"B002"
"Cooler_10",2026-05-22 07:00:00,"1CC4",24,32,20,44.3,82.1,39.1841816610129,5.11581833898709,"B003"
"Cooler_10",2026-05-22 07:00:00,"1EB4",0,20,6,47.2,74.2,39.4061344611554,7.79386553884463,"B004"
"Cooler_10",2026-05-22 07:00:00,"1EC8",36,32,18,54.1,57.6,39.4701631506931,14.6298368493069,"B005"
"Cooler_10",2026-05-22 07:00:00,"1F0C",36,32,6,73.4,43,49.5494200410619,23.8505799589382,"B006"
"Cooler_10",2026-05-22 07:00:00,"1EFO",24,32,6,71.1,39.3,45.0908518172435,26.0091481827565,"B007"
