"Experiment_ID","Timestamp","Sensor_ID","X_ft","Y_ft","Z_ft","Temperature_F","Relative_Humidity_pct","Dew_Point_F","Dew_Point_Depression_F","Bin_ID"
"Experiment",2026-08-07 08:00:00,"S01",2.5,2.5,3,73.59,67.4,62.1279704302808,11.4620295697192,"B001"
"Experiment",2026-08-07 08:00:00,"S02",17.5,2.5,3,74.24,65.8,62.0651115263721,12.1748884736278,"B002"
"Experiment",2026-08-07 08:00:00,"S03",32.5,2.5,3,75.53,62.1,61.6468288080258,13.8831711919742,"B003"
"Experiment",2026-08-07 08:00:00,"S04",2.5,12.5,8,74.03,67.5,62.5892798540612,11.4407201459388,"B004"
"Experiment",2026-08-07 08:00:00,"S05",17.5,12.5,8,75.39,65.6,63.0707237150086,12.3192762849914,"B005"
"Experiment",2026-08-07 08:00:00,"S06",32.5,12.5,8,75.92,64.2,62.9591745765742,12.9608254234258,"B006"
"Experiment",2026-08-07 08:00:00,"S07",2.5,22.5,13,75.14,68,63.8576236949976,11.2823763050024,"B007"
"Experiment",2026-08-07 08:00:00,"S08",17.5,22.5,13,75.81,65,63.2075577699164,12.6024422300836,"B008"
"Experiment",2026-08-07 08:00:00,"S09",32.5,22.5,13,76.91,64.5,64.0297747785117,12.8802252214883,"B009"
"Experiment",2026-08-07 08:00:00,"S10",8.75,6.25,16,74.71,65.3,62.2949853945769,12.4150146054231,"B010"
"Experiment",2026-08-07 08:00:00,"S11",26.25,6.25,16,76.36,61.8,62.2921066140782,14.0678933859218,"B011"
"Experiment",2026-08-07 08:00:00,"S12",8.75,18.75,16,75.59,66.7,63.7349379789994,11.8550620210006,"B012"
"Experiment",2026-08-07 08:00:00,"S13",26.25,18.75,16,76.43,63.7,63.2192082637903,13.2107917362097,"B013"
"Experiment",2026-08-07 08:00:00,"S14",17.5,12.5,20,76.33,64.3,63.3917565495535,12.9382434504465,"B014"
"Experiment",2026-08-07 08:00:00,"S15",5,12.5,24,75.4,64.6,62.6432405240931,12.7567594759069,"B015"
"Experiment",2026-08-07 08:00:00,"S16",30,12.5,24,77.03,60.8,62.4597987020454,14.5702012979546,"B016"
"Experiment",2026-08-07 08:00:00,"S17",17.5,3,24,75.49,62.4,61.7455045574398,13.7444954425602,"B017"
"Experiment",2026-08-07 08:00:00,"S18",17.5,22,24,76.59,65,63.9472123604876,12.6427876395124,"B018"
"Experiment",2026-08-07 08:00:00,"S19",5,5,11,74.28,65.5,61.9735708918578,12.3064291081422,"B019"
"Experiment",2026-08-07 08:00:00,"S20",30,20,11,76.37,63.3,62.9830988761922,13.3869011238078,"B020"
"Experiment",2026-08-07 08:15:00,"S01",2.5,2.5,3,73.78,67.1,62.182419356655,11.597580643345,"B001"
"Experiment",2026-08-07 08:15:00,"S02",17.5,2.5,3,74.45,65.8,62.2645851529392,12.1854148470608,"B002"
"Experiment",2026-08-07 08:15:00,"S03",32.5,2.5,3,75.8,63.3,62.4443135434288,13.3556864565712,"B003"
"Experiment",2026-08-07 08:15:00,"S04",2.5,12.5,8,74.24,67.9,62.9574600380271,11.2825399619729,"B004"
"Experiment",2026-08-07 08:15:00,"S05",17.5,12.5,8,75.52,64.9,62.8887350163716,12.6312649836284,"B005"
"Experiment",2026-08-07 08:15:00,"S06",32.5,12.5,8,76.01,63.6,62.7772302869077,13.2327697130923,"B006"
"Experiment",2026-08-07 08:15:00,"S07",2.5,22.5,13,75.21,69.4,64.5074520470881,10.7025479529119,"B007"
"Experiment",2026-08-07 08:15:00,"S08",17.5,22.5,13,75.98,64.8,63.2809332680601,12.6990667319399,"B008"
"Experiment",2026-08-07 08:15:00,"S09",32.5,22.5,13,77.15,64.4,64.2127294415938,12.9372705584062,"B009"
"Experiment",2026-08-07 08:15:00,"S10",8.75,6.25,16,74.94,65.8,62.7300063784698,12.2099936215302,"B010"
"Experiment",2026-08-07 08:15:00,"S11",26.25,6.25,16,76.65,62.6,62.9311162862881,13.7188837137119,"B011"
"Experiment",2026-08-07 08:15:00,"S12",8.75,18.75,16,75.64,65.8,63.3948519866418,12.2451480133582,"B012"
"Experiment",2026-08-07 08:15:00,"S13",26.25,18.75,16,76.62,62.7,62.9482173389277,13.6717826610723,"B013"
"Experiment",2026-08-07 08:15:00,"S14",17.5,12.5,20,76.46,64.1,63.4260178962941,13.0339821037059,"B014"
"Experiment",2026-08-07 08:15:00,"S15",5,12.5,24,75.45,65.8,63.2143987618022,12.2356012381978,"B015"
"Experiment",2026-08-07 08:15:00,"S16",30,12.5,24,77.21,63.3,63.7770337650225,13.4329662349775,"B016"
"Experiment",2026-08-07 08:15:00,"S17",17.5,3,24,76.06,62.3,62.2378668041828,13.8221331958172,"B017"
"Experiment",2026-08-07 08:15:00,"S18",17.5,22,24,76.81,63.6,63.5338265433474,13.2761734566526,"B018"
"Experiment",2026-08-07 08:15:00,"S19",5,5,11,74.5,65.8,62.3120782202583,12.1879217797417,"B019"
"Experiment",2026-08-07 08:15:00,"S20",30,20,11,76.44,64.4,63.5402575649068,12.8997424350932,"B020"
"Experiment",2026-08-07 08:30:00,"S01",2.5,2.5,3,73.87,67,62.2258010336198,11.6441989663802,"B001"
"Experiment",2026-08-07 08:30:00,"S02",17.5,2.5,3,74.38,64.3,61.5448796711508,12.8351203288492,"B002"
"Experiment",2026-08-07 08:30:00,"S03",32.5,2.5,3,75.83,63.2,62.4277755628905,13.4022244371095,"B003"
"Experiment",2026-08-07 08:30:00,"S04",2.5,12.5,8,74.48,67.4,62.9758539742119,11.5041460257881,"B004"
"Experiment",2026-08-07 08:30:00,"S05",17.5,12.5,8,75.8,65.3,63.3292898383377,12.4707101616623,"B005"
"Experiment",2026-08-07 08:30:00,"S06",32.5,12.5,8,76.37,63.7,63.1624526415494,13.2075473584506,"B006"
"Experiment",2026-08-07 08:30:00,"S07",2.5,22.5,13,75.45,66.9,63.6872068662672,11.7627931337328,"B007"
"Experiment",2026-08-07 08:30:00,"S08",17.5,22.5,13,76.36,65.7,64.0351558016809,12.3248441983191,"B008"
"Experiment",2026-08-07 08:30:00,"S09",32.5,22.5,13,77.38,63.3,63.9377017072815,13.4422982927185,"B009"
"Experiment",2026-08-07 08:30:00,"S10",8.75,6.25,16,75.29,64.8,62.6268281990493,12.6631718009507,"B010"
